trace,bin,ipc,l2c_total_access,l2c_total_hit,l2c_total_miss,l2c_load_access,l2c_load_hit,l2c_load_miss,l2c_rfo_access,l2c_rfo_hit,l2c_rfo_miss,l2c_prefetch_access,l2c_prefetch_hit,l2c_prefetch_miss,l2c_writeback_access,l2c_writeback_hit,l2c_writeback_miss,l2c_pref_requested,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_avg_miss_latency
600.perlbench_s-210B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.56889,13383,9863,3520,9758,7795,1963,411,155,256,1822,525,1297,1392,1388,4,1962,1930,532,281,164.075
627.cam4_s-573B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.80764,367501,254113,113388,122539,102946,19593,109282,28155,81127,15508,2988,12520,120172,120024,148,19579,18577,3099,8830,436.065
602.gcc_s-734B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,0.674295,934913,516987,417926,810257,508159,302098,88,27,61,116490,724,115766,8078,8077,1,299333,116549,104434,11406,107.089
628.pop2_s-17B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.62225,1968837,1277526,691311,952864,650034,302830,319169,149741,169428,241396,22445,218951,455408,455306,102,302113,247410,151269,67543,68.9064
603.bwaves_s-3699B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.86731,104307,49912,54395,9731,4332,5399,45537,261,45276,3729,9,3720,45310,45310,0,5351,3737,3698,43,146.169
631.deepsjeng_s-928B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.19933,161265,134310,26955,91554,76995,14559,22368,20793,1575,11576,827,10749,35767,35695,72,14553,14155,1228,8775,119.999
605.mcf_s-665B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,0.429027,2482013,868167,1613846,1902763,535457,1367306,195373,46812,148561,104428,6671,97757,279449,279227,222,1343734,104831,37180,60822,75.6544
638.imagick_s-10316B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,2.5747,565847,408833,157014,444724,314327,130397,295,162,133,120111,93627,26484,717,717,0,130307,120232,17567,8708,32.5153
607.cactuBSSN_s-2421B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.42614,5896783,5415174,481609,4964058,4700510,263548,327627,292514,35113,241109,58690,182419,363989,363460,529,263246,241131,132002,50318,121.207
641.leela_s-800B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,0.927951,168156,160252,7904,124278,119233,5045,13964,13665,299,4971,2417,2554,24943,24937,6,5043,5019,559,1951,94.9561
619.lbm_s-4268B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,0.396765,7271766,4293669,2978097,589549,91195,498354,3295767,907525,2388242,90654,95,90559,3295796,3294854,942,492101,91424,90511,29,464.067
644.nab_s-5853B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.46436,335070,324440,10630,253911,248340,5571,445,369,76,5308,325,4983,75406,75406,0,5557,5315,4379,488,113.246
620.omnetpp_s-874B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,0.386928,1988763,907757,1081006,891261,327631,563630,123380,41895,81485,490729,57428,433301,483393,480803,2590,563426,550379,115470,317891,137.655
648.exchange2_s-1699B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,2.67954,1935,874,1061,1441,833,608,99,5,94,395,36,359,0,0,0,608,598,308,0,120.371
621.wrf_s-575B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.24385,3633,1816,1817,1296,695,601,1025,173,852,389,25,364,923,923,0,601,586,284,0,170.417
649.fotonik3d_s-1176B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,0.676104,1186378,524112,662266,660928,84449,576479,770,110,660,85420,293,85127,439260,439260,0,566578,85420,83907,1235,136.375
623.xalancbmk_s-700B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,0.574157,3929630,1727454,2202176,2581308,1220150,1361158,92273,17597,74676,1110981,344714,766267,145068,144993,75,1360012,1326734,150365,615866,37.0421
654.roms_s-842B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,2.07798,17260,7134,10126,6037,2691,3346,4173,256,3917,2863,0,2863,4187,4187,0,3338,2865,2596,220,113.793
625.x264_s-18B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,2.26984,28430,10600,17830,18740,5640,13100,749,166,583,8190,4049,4141,751,745,6,13023,8193,2824,1111,158.216
657.xz_s-3167B.champsimtrace.xz,perceptron-no-no-BOP-no-ship-1core,1.30063,600855,383458,217397,225679,121744,103935,66905,43440,23465,99436,10528,88908,208835,207746,1089,103851,99722,8352,80389,114.73
